ordinal,form_code,source_page,source_locator,source_refs,original_text,proposal_id,proposal_digest,decision_kind,result_history_state,source_mapping_state
11,AGA 048.304,4,PDF page 4; protocol AGA 048.304; Protocol question column,NAMCARs 139.17.6; NAMCATS 139.17.6,Is there an adequate stock of spare parts available for the maintenance personnel?,proposal-preview-4ce75341296fee02,sha256:6faf515af549d681b7d794507ce0f7c53e6faf14749f35df121a68e5e5e5fb0b,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
12,AGA 048.306,4,PDF page 4; protocol AGA 048.306; Protocol question column,NAMCARs 139.17.6; NAMCATS 139.17.6,Does the maintenance schedule of lights and other equipment follow the recommendations of the manufacturer to ensure the required service standard?,proposal-preview-74137222085374f5,sha256:ec94c931c98988a9296feefa094ef863193b65b21998e8ada4f3f074276d83fe,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
13,AGA 048.402,4,PDF page 4; protocol AGA 048.402; Protocol question column,NAMCARs 139.16.3; NAMCATS 139.16.3,Has the aerodrome operator determined the fire category in accordance with the largest aeroplane type conducting regular air operations to and from the aerodrome?,proposal-preview-5111ba55434cb6a7,sha256:3c72363a684cadeac4dc25285ba5c506ec31ca78e7387be9f9fa80ac01753e4b,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
14,AGA 048.502,5,PDF page 5; protocol AGA 048.502; Protocol question column,NAMCARs 139.16.3; NAMCATS 139.16.3,Has the aerodrome operator determined the number of fire vehicles required to meet the minimum extinguishing agents and rescue equipment?,proposal-preview-ff8519aa0e997024,sha256:1202e283da89f133fc8752c00a2ab46a0686e24a7ac60d3e5cd45362a17d4f71,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
15,AGA 048.504,5,PDF page 5; protocol AGA 048.504; Protocol question column,NAMCARs 139.16.3; NAMCATS 139.16.3,Is each rescue and fire fighting vehicle equipped with adequate two-way radio communication?,proposal-preview-19b16796f80e3e6c,sha256:059a0e3b2212f369982bdeec3430308ee9c2a2c157ca70079a5b9e433be12f16,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
16,AGA 048.506,5,PDF page 5; protocol AGA 048.506; Protocol question column,NAMCARs 139.16.3; NAMCATS 139.16.3,Are each rescue and fire- fighting vehicle equipped with adequate fire-fighting equipment?,proposal-preview-1636737af127cd26,sha256:4f0a16150762c48bd8a9aa0ce73fc4cb2057d359f9b894be192b07c643fea432,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
17,AGA 048.508,6,PDF page 6; protocol AGA 048.508; Protocol question column,NAMCARs 139.16.3; NAMCATS 139.16.3,Does the Aerodrome have adequate rescue equipment at the scene of any aircraft accident?,proposal-preview-31514b0edb2031a0,sha256:6c500ad7a81771833c1675ba2ae89f85a8909ca3c30b94cb4cc5ee86e1a4aaf9,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
18,AGA 048.602,7,PDF page 7; protocol AGA 048.602; Protocol question column,NAMCARs 139.16.3; NAMCATS 139.16.3,Is the response time in optimum visibility and surface conditions conform to the requirements?,proposal-preview-a02adda4f27b56df,sha256:5b19ef5c32e359687a86e021874a7c0133c59d5398db5d8e5a6644d76ff57109,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
19,AGA 048.604,7,PDF page 7; protocol AGA 048.604; Protocol question column,NAMCARs 139.16.3; NAMCATS 139.16.3,Are the rescue and fire fighting vehicles able to respond 1000 m from the threshold of each runway in the approach?,proposal-preview-65b570de76a396bc,sha256:129792d55386d05f8f2c8328b12218e798f5c4c962a8d5587a5feb9507a2ee3c,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
20,AGA 048.802,7,PDF page 7; protocol AGA 048.802; Protocol question column,NAMCARs 139.17.2; NAMCATS 139.17.2,Does the aerodrome operator have a mechanism in place to maintain fire fighting vehicle or vehicles?,proposal-preview-454eb55b8d8e5548,sha256:3dec519d7167f055d04d73ddd079b0440543d735e141f7956e1910747660ec9f,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
21,AGA 048.804,8,PDF page 8; protocol AGA 048.804; Protocol question column,NAMCARs 139.17.2; NAMCATS 139.17.2,"Does the aerodrome operator carry out maintenance, and testing of the water refill source and associated distribution system regularly?",proposal-preview-86d68a2ea2b5f84d,sha256:3b348536538d0b76625f4c168e52dd8f263112f6124df315e2001f30f1305b19,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
22,AGA 048.806,8,PDF page 8; protocol AGA 048.806; Protocol question column,NAMCARs 139.17.2; NAMCATS 139.17.2,Does the aerodrome operator regularly conduct inspection and physical tests where necessary on the emergency gate/s?,proposal-preview-b1ccedeb5a9884bd,sha256:2bab68bfd949035be24cebd07d43d7805a630c40c8c0ed3e8528c9ae9fd8e944,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
23,AGA 048.1002,8,PDF page 8; protocol AGA 048.1002; Protocol question column,NAMCARs 139.16.3; NAMCATS 139.16.3,Does the aerodrome operator have an adequate system to assess initial and continuous fitness of rescue and fire fighting personnel?,proposal-preview-b2af19242c8fa48d,sha256:6824bb202f07b756dd52d720c64cc6b1ebae5cdc63c44e992f32ac0383a6416e,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
24,AGA 048.1004,8,PDF page 8; protocol AGA 048.1004; Protocol question column,NAMCARs 139.16.3; NAMCATS 139.16.3,Are all responding rescue and fire fighting personnel are provided with protective clothing and respiratory equipment?,proposal-preview-aa1d97f7f5001bfd,sha256:7e066e7184bb9aabe64566a1a32f7d576f74ead10860bb8e19317ebaa7b67eb4,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
25,AGA 048.1102,8,PDF page 8; protocol AGA 048.1102; Protocol question column,NAMCARs 139.01.7; NAMCATS 139.01.7,Does the aerodrome employ an operating procedure for notification of aerodrome data and reporting changes to aerodrome information?,proposal-preview-f8bf336cd1590c5e,sha256:8bedf5b0b2933f0ab69bcb335539bc5ef15c789a886fda4664b367c65c6f526a,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
26,AGA 048.1104,8,PDF page 8; protocol AGA 048.1104; Protocol question column,NAMCARs 139.01.7; NAMCATS 139.01.7,Does the procedure for notification of aerodrome and reporting changes clearly identify the information that require the issuance of a NOTAM?,proposal-preview-4469bd8873c29acc,sha256:96886c59589376dd35cf9846cfa45704a99a3fd3972a1c7498c98f5323ed6f07,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
27,AGA 048.1106,9,PDF page 9; protocol AGA 048.1106; Protocol question column,NAMCARs 139.01.7; NAMCATS 139.01.7,Does the aerodrome employ an operating procedure for reporting safety occurrences?,proposal-preview-8bafb039ea028382,sha256:4827ca1c12ccc665f7158f06a64698250e2d059269553cf9630d9016474e4af6,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
28,AGA 048.1108,9,PDF page 9; protocol AGA 048.1108; Protocol question column,NAMCARs 139.08.4; NAMCATS 139.08.4; NAMCARs 139.08.6; NAMCATS 139.08.6,Does the incidence reporting procedure include investigation and sharing the report with stakeholders?,proposal-preview-68ab6f8d6092e7a5,sha256:cc6391a5520269ddf3e37ad33b3b7ada64f0a622101266bb3f871d8a1c51346f,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
